StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
785,115,259,"Hill, Mammarella,Devine, Caviola, Passolunghi, & Szucs",2016,-0.130,322,-0.130739850,0.003134796,0.055989251,0,-999,3,2,2,2,-999,1,1,6.00,2,3,0
793,116,260,Prieto & Delgado,2007,-0.240,411,-0.244774113,0.002450980,0.049507377,-999,-999,3,3,2,2,-999,10,1,-999.00,3,-999,0
793,117,261,Prieto & Delgado,2007,-0.290,216,-0.298566264,0.004694836,0.068518871,-999,-999,3,4,2,2,-999,10,1,-999.00,3,-999,0
799,118,262,"Chiesi, Primi, & Carmona",2011,-0.190,410,-0.192337169,0.002457002,0.049568160,-999,-999,3,5,2,2,-999,-999,2,-999.00,2,-999,0
803,119,263,"Casey, Nuttall, & Pezaris",1997,-0.100,94,-0.100335348,0.010989011,0.104828484,-999,1,1,4,2,2,-999,8,1,3.00,1,-999,0
803,119,264,"Casey, Nuttall, & Pezaris",1997,-0.200,94,-0.202732554,0.010989011,0.104828484,-999,1,1,4,2,2,-999,8,1,3.00,4,6,0
811,120,265,Scott,2003,0.000,91,0.000000000,0.011363636,0.106600358,-999,2,1,5,2,2,-999,1,1,6.00,5,8,1
811,120,266,Scott,2003,-0.010,91,-0.010000333,0.011363636,0.106600358,-999,2,1,5,2,2,-999,1,1,6.00,5,8,1
811,120,267,Scott,2003,-0.220,91,-0.223656109,0.011363636,0.106600358,-999,2,1,5,2,2,-999,1,1,6.00,5,8,1
812,121,268,Nasser & Birenbaum,2005,-0.370,283,-0.388423100,0.003571429,0.059761430,-999,-999,4,3,2,2,-999,10,1,-999.00,1,-999,0
812,122,269,Nasser & Birenbaum,2005,-0.170,195,-0.171666664,0.005208333,0.072168784,-999,-999,4,3,2,2,-999,10,1,-999.00,1,-999,0
821,123,270,Helming,2013,-0.160,323,-0.162413138,0.003125000,0.055901699,-999,1,1,5,2,2,-999,10,1,-999.00,1,-999,1
821,123,271,Helming,2013,-0.180,323,-0.180949396,0.003125000,0.055901699,-999,1,1,5,2,2,-999,10,1,-999.00,1,-999,1
821,123,272,Helming,2013,-0.300,323,-0.305129760,0.003125000,0.055901699,-999,1,1,5,2,2,-999,10,1,4.00,1,-999,1
821,124,273,Helming,2013,-0.120,213,-0.122610746,0.004761905,0.069006556,-999,1,1,5,2,2,-999,10,1,-999.00,1,-999,1
821,124,274,Helming,2013,-0.210,213,-0.207946366,0.004761905,0.069006556,-999,1,1,5,2,2,-999,10,1,-999.00,1,-999,1
821,124,275,Helming,2013,-0.230,213,-0.229970121,0.004761905,0.069006556,-999,1,1,5,2,2,-999,10,1,4.00,1,-999,1
821,125,276,Helming,2013,-0.040,138,-0.038018307,0.007407407,0.086066297,-999,1,1,5,1,2,-999,10,1,-999.00,1,-999,1
821,125,277,Helming,2013,-0.040,138,-0.042024722,0.007407407,0.086066297,-999,1,1,5,1,2,-999,10,1,-999.00,1,-999,1
821,125,278,Helming,2013,-0.110,138,-0.113484684,0.007407407,0.086066297,-999,1,1,5,1,2,-999,10,1,4.00,1,-999,1
823,126,279,"Ironsmith, Marva, Harju, & Eppler",2003,-0.400,105,-0.418896043,0.009803922,0.099014754,-999,-999,1,5,2,2,-999,3,1,-999.00,5,-999,0
823,126,280,"Ironsmith, Marva, Harju, & Eppler",2003,-0.420,117,-0.450122871,0.008771930,0.093658581,-999,-999,1,5,2,2,-999,3,1,-999.00,4,-999,0
823,126,281,"Ironsmith, Marva, Harju, & Eppler",2003,-0.210,102,-0.210035000,0.010101010,0.100503782,-999,-999,1,5,2,2,-999,3,1,-999.00,1,-999,0
823,127,282,"Ironsmith, Marva, Harju, & Eppler",2003,-0.160,101,-0.165494508,0.010204082,0.101015254,-999,-999,1,5,2,2,-999,3,1,-999.00,1,-999,0
825,128,283,Park,2014,-0.220,229,-0.219456521,0.004424779,0.066519011,0,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,128,284,Park,2014,-0.210,229,-0.211079993,0.004424779,0.066519011,0,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,128,285,Park,2014,-0.420,229,-0.451340166,0.004424779,0.066519011,0,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,128,286,Park,2014,-0.450,229,-0.485954906,0.004424779,0.066519011,0,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,129,287,Park,2014,-0.390,193,-0.415343091,0.005263158,0.072547625,1,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,129,288,Park,2014,-0.400,193,-0.417710618,0.005263158,0.072547625,1,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,129,289,Park,2014,-0.410,193,-0.438017735,0.005263158,0.072547625,1,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
825,129,290,Park,2014,-0.460,193,-0.496043635,0.005263158,0.072547625,1,-999,1,1,2,2,4,-999,1,-999.00,2,-999,1
829,130,291,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.070,244,-0.070114671,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,4.00,2,-999,0
829,130,292,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.090,244,-0.090244188,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,4.00,2,-999,0
829,130,293,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.160,244,-0.161386696,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,5.00,2,-999,0
829,130,294,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.210,244,-0.213171347,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,5.00,2,-999,0
829,130,295,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.260,244,-0.266108407,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,-999.00,2,-999,0
829,130,296,"Lukowski, DiTrapani, Jeon, Wang, Schenker, Doran, & Petrill",2016,-0.290,244,-0.298566264,0.004149378,0.064415663,-999,-999,1,3,2,2,1,-999,1,-999.00,2,-999,0
843,131,297,Cortina,1995,-0.170,165,-0.171666664,0.006172840,0.078567420,-999,-999,1,5,2,2,-999,8,1,3.00,3,8,1
843,131,298,Cortina,1995,-0.210,165,-0.213171347,0.006172840,0.078567420,-999,-999,1,5,2,2,-999,8,1,3.00,3,8,1
843,131,299,Cortina,1995,-0.220,165,-0.223656109,0.006172840,0.078567420,-999,-999,1,5,2,2,-999,8,1,3.00,3,8,1
845,79,300,"Ramirez, Chang, Levine, & Beilock",2016,-0.280,564,-0.288767472,0.001782531,0.042220033,-999,-999,1,1,2,2,4,-999,1,-999.00,2,-999,0
858,132,301,"Casad, Hale, & Wachs",2015,-0.390,713,-0.405916575,0.001408451,0.037529331,0,2,1,3,2,2,-999,10,1,-999.00,4,-999,0
858,133,302,"Casad, Hale, & Wachs",2015,-0.370,683,-0.389582211,0.001470588,0.038348249,-999,2,1,3,2,2,-999,10,1,-999.00,4,-999,0
858,134,303,"Casad, Hale, & Wachs",2015,-0.370,629,-0.390742321,0.001597444,0.039968038,1,2,1,3,2,2,-999,10,1,-999.00,4,-999,0
862,135,304,Bangert,1995,-0.470,34,-0.510070337,0.032258065,0.179605302,-999,-999,1,5,2,2,-999,1,1,6.00,2,-999,1
876,136,305,Parks,2009,0.290,15,0.302939119,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,137,306,Parks,2009,0.100,15,0.096296554,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
876,138,307,Parks,2009,-0.010,15,-0.013000732,0.083333333,0.288675135,-999,-999,1,3,2,1,-999,1,1,6.00,2,-999,1
876,138,308,Parks,2009,-0.040,15,-0.037016898,0.083333333,0.288675135,-999,-999,1,3,2,1,-999,1,1,6.00,2,-999,1
876,137,309,Parks,2009,-0.100,15,-0.102355961,0.083333333,0.288675135,-999,-999,1,3,2,2,-999,1,1,6.00,2,-999,1
