StudyID,SampleID,ESID,Authors,PubYear,r,n,Corrz,Varz,SEz,Gender,Raceethnic,Continent,Grade,Lowability,Teachers,Childanx,Adoladultanx,MvSanx,Anxcomp,Achmeas,Mathcont,Pub
1061,170,376,Nasser,2004,0.060,162,0.060072156,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,-999.00,3,-999,0
1061,170,377,Nasser,2004,0.040,162,0.040021354,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,-999.00,5,8,0
1061,170,378,Nasser,2004,-0.070,162,-0.070114671,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,6.00,5,8,0
1061,170,379,Nasser,2004,-0.080,162,-0.080171325,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,6.00,3,-999,0
1061,170,380,Nasser,2004,-0.100,162,-0.100335348,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,6.00,5,8,0
1061,170,381,Nasser,2004,-0.120,162,-0.120581028,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,-999,2,-999.00,5,8,0
1061,170,382,Nasser,2004,-0.300,162,-0.309519604,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,-999.00,3,-999,0
1061,170,383,Nasser,2004,0.160,162,0.161386696,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,-999.00,5,8,0
1061,170,384,Nasser,2004,-0.200,162,-0.202732554,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,-999.00,5,8,0
1061,170,385,Nasser,2004,-0.250,162,-0.255412812,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,5.00,5,8,0
1061,170,386,Nasser,2004,-0.280,162,-0.287682072,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,5.00,5,8,0
1061,170,387,Nasser,2004,-0.340,162,-0.354092529,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,5.00,3,-999,0
1061,170,388,Nasser,2004,-0.160,162,-0.161386696,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,4.00,3,-999,0
1061,170,389,Nasser,2004,-0.130,162,-0.130739850,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,4.00,5,8,0
1061,170,390,Nasser,2004,-0.140,162,-0.140925576,0.006289308,0.079305159,-999,-999,4,5,2,1,-999,1,1,4.00,5,8,0
1068,171,391,Federici & Skaalvik,2014,-0.300,309,-0.311718860,0.003267974,0.057166195,-999,-999,3,4,2,2,-999,10,1,2.00,4,-999,0
1094,172,392,Tubbs,2014,0.000,19,-0.003000009,0.062500000,0.250000000,-999,-999,1,3,2,2,1,-999,1,-999.00,3,7,1
1094,172,393,Tubbs,2014,-0.330,19,-0.338346030,0.062500000,0.250000000,-999,-999,1,3,2,2,1,-999,1,-999.00,3,7,1
1102,173,394,Catapano,2013,-0.200,84,-0.206902720,0.012345679,0.111111111,-999,1,1,4,2,2,-999,5,1,-999.00,1,7,1
1105,174,395,"Schnell, Tibubos, Rohrmann, & Hodapp",2013,-0.060,79,-0.060072156,0.013157895,0.114707867,-999,-999,3,3,2,2,5,-999,1,-999.00,4,-999,0
1132,175,396,Ramirez,2013,-0.570,60,-0.646042831,0.017543860,0.132453236,-999,-999,1,6,2,2,-999,1,1,-999.00,2,-999,1
1143,176,397,Ganley & McGraw,2016,-0.140,281,-0.140925576,0.003597122,0.059976014,-999,2,1,1,2,2,3,-999,1,2.00,3,-999,0
1143,176,398,Ganley & McGraw,2016,-0.060,281,-0.060072156,0.003597122,0.059976014,-999,2,1,1,2,2,3,-999,1,-999.00,3,-999,0
1143,176,399,Ganley & McGraw,2016,-0.080,281,-0.080171325,0.003597122,0.059976014,-999,2,1,1,2,2,3,-999,1,-999.00,3,-999,0
1143,176,400,Ganley & McGraw,2016,-0.190,281,-0.192337169,0.003597122,0.059976014,-999,2,1,1,2,2,3,-999,1,2.00,3,-999,0
