"study_ID" "type" "rgodHRother" "ma" "author_andor_study" "year" "Ntot" "ES" "SE" "unique" "citations" "countrycode" "jrnl_impact" "similarity" "N1" "N2" "remarks_N" "remarks_type" "remarks" "meta_nr" "typeWords" "Fisherz" "FisherzSE" "FisherzUncoined"
30 2 3 "amie" "Jacobson" 1983 1090 1.223348051 0.246352336 1 15 "US" NA 1 384 706 NA NA NA "Meta-Analysis 3" "Group Differences" 0.316854202766899 0.030330895164369 0.316854202766899
31 2 4 "ande" "Rodgers" 1978 2424 0.226666667 0.040752457 1 124 "GB" 3.292 1 1212 1212 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.113092107914232 0.0203236920283231 0.113092107914232
32 2 4 "ande" "Fergusson" 1982 1037 0.139333333 0.062182322 1 89 "NZ" 2.558 1 518.5 518.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.0696104353429831 0.0310985206785561 0.0696104353429831
33 2 4 "ande" "Ounsted" 1984 242 0.374 0.129683945 1 35 "GB" 16.378 1 121 121 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.185926934340636 0.0646846227353151 0.185926934340636
34 2 4 "ande" "Morley" 1988 771 0.290666667 0.072407583 1 91 "GB" 2.905 1 385.5 385.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.144826519642461 0.0360843918243516 0.144826519642461
35 2 4 "ande" "Doyle" 1992 96 0.334666667 0.20554807 1 18 "AU" 39.207 1 48 48 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.166562110793636 0.103695169473043 0.166562110793636
36 2 4 "ande" "Jacobson" 1992 323 0.114 0.11137333 1 51 "US" 39.207 1 161.5 161.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.0569691795398246 0.0559016994374947 0.0569691795398246
37 2 4 "ande" "Lucas" 1992 283 0.553333333 0.121141346 1 675 "GB" 39.207 1 141.5 141.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.273253426415572 0.0597614304667197 0.273253426415572
38 2 4 "ande" "Rogan" 1993 855 0.18 0.068536924 1 159 "US" 1.931 1 427.5 427.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.0898789407439468 0.0342594354913766 0.0898789407439468
39 2 4 "ande" "Temboury" 1994 229 0.290666667 0.13285977 1 54 "ES" 2.873 1 114.5 114.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.144826519642461 0.0665190105237739 0.144826519642461
40 2 4 "ande" "Florey" 1995 592 0.246666667 0.082511488 1 44 "GB" 9.197 1 296 296 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 4" "Group Differences" 0.123022781724928 0.0412042821715165 0.123022781724928
41 4 4 "anha" "Ahles breast" 2002 35 -0.02 0.338070153 1 330 "US" 17.96 1 17.5 17.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.00999983334083285 0.176776695296637 -0.00999983334083285
42 4 4 "anha" "Ahles Lymph" 2002 36 -0.21 0.334250821 1 330 "US" 17.96 1 18 18 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.104808013476227 0.174077655955698 -0.104808013476227
43 4 4 "anha" "Peace" 2002 55 -0.26 0.270816946 1 NA NA NA NA 27.5 27.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.12963659033633 0.138675049056307 -0.12963659033633
44 4 4 "anha" "Riggs" 2001 13 0.1 0.555046776 1 NA "US" NA NA 6.5 6.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" -0.0499791900693487 0.316227766016838 0.0499791900693487
45 4 4 "anha" "Brezden" 2000 40 0.09 0.316387816 1 252 "CA" 17.96 1 20 20 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" -0.0449848263229507 0.164398987305357 0.0449848263229507
46 4 4 "anha" "Schagen" 1999 39 -0.49 0.325026626 1 322 "NL" 4.901 1 19.5 19.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.242612911397075 0.166666666666667 -0.242612911397075
47 4 4 "anha" "van Dam" 1998 34 -0.14 0.343417085 1 391 "NL" 15.161 1 17 17 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.0699429590194018 0.179605302026775 -0.0699429590194018
48 4 4 "anha" "van Oosterhout" 1996 49 -0.57 0.291458332 1 44 "NL" 4.176 1 24.5 24.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.28127637161931 0.147441956154897 -0.28127637161931
49 4 4 "anha" "Meyers" 1995 25 0.31 0.402395328 1 78 "US" 3.737 1 12.5 12.5 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" -0.154385969709221 0.21320071635561 0.154385969709221
50 4 4 "anha" "Pavol" 1995 16 -0.9 0.524702297 1 121 "US" 8.303 1 8 8 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.436049668851741 0.277350098112615 -0.436049668851741
51 4 4 "anha" "Parth" 1989 20 0 0.447213595 1 52 "US" 0.521 1 10 10 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0 0.242535625036333 0
52 4 4 "anha" "Denicoff" 1987 38 -0.65 0.332899938 1 367 "US" 16.104 1 19 19 "number of participants per group calculated with total number of participants per study" NA NA "Meta-Analysis 5" "Toxicology" 0.319534632000572 0.169030850945703 -0.319534632000572
53 2 4 "aylw" "Albee (2nd grade)" 1964 2735 0.678728827 0.093078683 1 33 "US" 0.968 1 122 2613 NA NA NA "Meta-Analysis 6" "Group Differences" 0.139661805431728 0.0191319682948345 0.139661805431728
54 2 4 "aylw" "Lane (6th grade)" 1968 4207 0.612817693 0.157082512 1 17 "US" NA 1 41 4166 NA NA NA "Meta-Analysis 6" "Group Differences" 0.0601656148349336 0.0154229924618909 0.0601656148349336
55 2 4 "aylw" "Offord" 1974 130 0.336431684 0.176648132 1 65 "CA" 7.343 1 65 65 NA NA NA "Meta-Analysis 6" "Group Differences" 0.167432454916424 0.0887356509416114 0.167432454916424
56 2 4 "aylw" "Lane (2nd grade)" 1968 4638 1.329234378 0.157474614 1 17 "US" 4.974 1 41 4597 NA NA NA "Meta-Analysis 6" "Group Differences" 0.124103992461117 0.0146884216413077 0.124103992461117
57 2 4 "aylw" "Albee (6th grade)" 1964 4320 0.637928782 0.082344678 1 33 "US" 0.968 1 154 4166 NA NA NA "Meta-Analysis 6" "Group Differences" 0.118005152413858 0.0152198010571927 0.118005152413858
58 2 4 "aylw" "Pollack (6th-9th grade)" 1970 22 0.10571641 0.426699169 1 NA NA NA NA 11 11 NA NA NA "Meta-Analysis 6" "Group Differences" 0.052833621681384 0.229415733870562 0.052833621681384
59 2 4 "aylw" "Albee (8th grade)" 1964 5063 0.523852134 0.099686766 1 33 "US" 0.968 1 103 4960 NA NA NA "Meta-Analysis 6" "Group Differences" 0.0738865113488882 0.0140580389278883 0.0738865113488882
60 2 4 "aylw" "Schaffner (7th-9th grade)" 1967 64 0.39874605 0.252472127 1 NA "US" NA 1 32 32 NA NA NA "Meta-Analysis 6" "Group Differences" 0.198075273750529 0.128036879932896 0.198075273750529
61 2 4 "aylw" "Pollack (Kindergarten-2nd grade)" 1970 30 0.623409283 0.373912626 1 NA NA NA NA 15 15 NA NA NA "Meta-Analysis 6" "Group Differences" 0.306865827728405 0.192450089729875 0.306865827728405
62 2 4 "aylw" "Schaffner (Kindergarten-3rd grade)" 1967 50 0.265714339 0.284088087 1 NA "US" NA 1 25 25 NA NA NA "Meta-Analysis 6" "Group Differences" 0.132469397472347 0.145864991497895 0.132469397472347
63 2 4 "aylw" "Pollack (3rd-5th grade)" 1970 28 0.639664475 0.387509692 1 NA NA NA NA 14 14 NA NA NA "Meta-Analysis 6" "Group Differences" 0.314616195072826 0.2 0.314616195072826
64 2 4 "aylw" "Offord" 1974 102 0.828639335 0.206353057 1 65 "CA" 7.343 1 51 51 NA NA NA "Meta-Analysis 6" "Group Differences" 0.403297745677756 0.100503781525921 0.403297745677756
65 2 4 "aylw" "Offord" 1971 116 0.79203749 0.220637693 1 39 "CA" 13.747 1 29 87 NA NA NA "Meta-Analysis 6" "Group Differences" 0.336571701883456 0.0940720868383597 0.336571701883456
66 2 4 "aylw" "Schaffner (4th-6th grade)" 1967 52 0.197124451 0.278022862 1 NA "US" NA 1 26 26 NA NA NA "Meta-Analysis 6" "Group Differences" 0.0984033384457158 0.142857142857143 0.0984033384457158
67 1 1 "bake" "Baron-Cohen" 1997 16 -0.080171325 0.277350098 1 495 "GB" 5.669 0 8 8 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.080171325 0.277350098112615 -0.080171325
68 1 1 "bake" "Baron-Cohen" 2001 254 0.090244188 0.06311944 1 1077 "GB" 5.669 0 127 127 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.090244188 0.0631194403097803 0.090244188
69 1 1 "bake" "Botting" 2008 124 0.395392825 0.090909091 1 22 "GB" 1.957 1 62 62 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.395392825 0.0909090909090909 0.395392825
70 1 1 "bake" "Botting" 2008 134 0.395392825 0.087370406 1 22 "GB" 1.957 1 67 67 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.395392825 0.0873704056661038 0.395392825
71 1 1 "bake" "Brent" 2004 20 0.161386696 0.242535625 1 35 "GB" 3.5 1 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.161386696 0.242535625036333 0.161386696
72 1 1 "bake" "Brent" 2004 20 -0.070114671 0.242535625 1 35 "GB" 3.5 1 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.070114671 0.242535625036333 -0.070114671
73 1 1 "bake" "Carroll" 2006 48 -0.031009936 0.149071198 1 35 "GB" 3.384 0 24 24 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.031009936 0.149071198499986 -0.031009936
74 1 1 "bake" "Chapman" 2006 76 0.151140436 0.117041147 1 88 "GB" 2.873 1 38 38 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.151140436 0.117041147196131 0.151140436
75 1 1 "bake" "de Achaval" 2010 40 0.299658432 0.164398987 1 39 "AR" 3.451 0 20 20 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.299658432 0.164398987305357 0.299658432
76 1 1 "bake" "de Achaval" 2010 20 0.474713678 0.242535625 1 39 "AR" 3.451 0 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.474713678 0.242535625036333 0.474713678
77 1 1 "bake" "de Achaval" 2010 20 1.098612289 0.242535625 1 39 "AR" 3.451 0 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 1.098612289 0.242535625036333 1.098612289
78 1 1 "bake" "Demurie" 2011 13 0.196490276 0.316227766 1 11 "BE" 2.378 0 6.5 6.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.196490276 0.316227766016838 0.196490276
79 1 1 "bake" "Demurie" 2011 13 -0.094278338 0.316227766 1 11 "BE" 2.378 0 6.5 6.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.094278338 0.316227766016838 -0.094278338
80 1 1 "bake" "Dziobek" 2006 20 -0.174757577 0.242535625 1 93 "US" 3.384 0 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.174757577 0.242535625036333 -0.174757577
81 1 1 "bake" "Dziobek" 2006 19 0.285513248 0.25 1 93 "US" 3.384 0 9.5 9.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.285513248 0.25 0.285513248
82 1 1 "bake" "Garrido" 2009 18 0.327197097 0.25819889 1 55 "GB" 10.846 0 9 9 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.327197097 0.258198889747161 0.327197097
83 1 1 "bake" "Garrido" 2009 15 -0.293115727 0.288675135 1 55 "GB" 10.846 0 7.5 7.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.293115727 0.288675134594813 -0.293115727
84 1 1 "bake" "Golan" 2007 72 0.112471866 0.120385853 1 62 "GB" 3.384 1 36 36 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.112471866 0.120385853085769 0.112471866
85 1 1 "bake" "Hassentab" 2007 38 0.218407819 0.169030851 1 12 "US" 1.812 0 19 19 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.218407819 0.169030850945703 0.218407819
86 1 1 "bake" "Havet-Thomassin" 2006 34 -0.070114671 0.179605302 1 40 "FR" 1.861 1 17 17 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.070114671 0.179605302026775 -0.070114671
87 1 1 "bake" "Hefter" 2005 26 0.306226146 0.208514414 1 26 "US" 8.303 0 13 13 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.306226146 0.208514414057075 0.306226146
88 1 1 "bake" "Henry" 2009 30 0.365443754 0.19245009 1 26 "AU" 3.009 1 15 15 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.365443754 0.192450089729875 0.365443754
89 1 1 "bake" "Henry" 2009 27 0.260753317 0.204124145 1 26 "AU" 3.009 1 13.5 13.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.260753317 0.204124145231932 0.260753317
90 1 1 "bake" "Henry" 2009 20 0.255412812 0.242535625 1 26 "AU" 3.009 1 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.255412812 0.242535625036333 0.255412812
91 1 1 "bake" "Lau" 2006 36 0.411800034 0.174077656 1 NA "CN" NA NA 18 18 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.411800034 0.174077655955698 0.411800034
92 1 1 "bake" "Lawrence" 2003 19 0.244774113 0.25 1 37 "GB" 3.451 1 9.5 9.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.244774113 0.25 0.244774113
93 1 1 "bake" "Lawrence" 2003 38 0.067100525 0.169030851 1 37 "GB" 3.451 1 19 19 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.067100525 0.169030850945703 0.067100525
94 1 1 "bake" "Lawrence" 2003 45 0.288767472 0.15430335 1 37 "GB" 3.451 1 22.5 22.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.288767472 0.154303349962092 0.288767472
95 1 1 "bake" "McGlade" 2008 150 0.319439471 0.08247861 1 33 "IE" 7.343 1 75 75 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.319439471 0.0824786098842323 0.319439471
96 1 1 "bake" "Plesa Skewerer" 2006 43 0.11652454 0.158113883 1 NA "US" 1.964 1 21.5 21.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.11652454 0.158113883008419 0.11652454
97 1 1 "bake" "Plesa Skewerer" 2006 39 0.424839974 0.166666667 1 NA "US" 1.964 1 19.5 19.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.424839974 0.166666666666667 0.424839974
98 1 1 "bake" "Plesa Skewerer" 2006 46 0.615518437 0.15249857 1 NA "US" 1.964 1 23 23 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.615518437 0.152498570332605 0.615518437
99 1 1 "bake" "Schwartz" 2010 20 0.229970121 0.242535625 1 8 "DE" 3.384 0 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.229970121 0.242535625036333 0.229970121
100 1 1 "bake" "Schwartz" 2010 20 -0.019002287 0.242535625 1 8 "DE" 3.384 0 10 10 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" -0.019002287 0.242535625036333 -0.019002287
101 1 1 "bake" "Sharp" 2008 79 0.030009005 0.114707867 1 19 "GB" 2.311 0 39.5 39.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.030009005 0.114707866935281 0.030009005
102 1 1 "bake" "Szily" 2009 26 0.213171347 0.208514414 1 10 "HU" 1.557 0 13 13 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.213171347 0.208514414057075 0.213171347
103 1 1 "bake" "Szily" 2009 42 0.255412812 0.160128154 1 10 "HU" 1.557 0 21 21 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.255412812 0.160128153805087 0.255412812
104 1 1 "bake" "Szily" 2009 50 0.320545409 0.145864991 1 10 "HU" 1.557 0 25 25 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.320545409 0.145864991497895 0.320545409
105 1 1 "bake" "Tso" 2010 22 0.026005861 0.229415734 1 13 "US" 4.426 0 11 11 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.026005861 0.229415733870562 0.026005861
106 1 1 "bake" "Tso" 2010 11 1.030228582 0.353553391 1 13 "US" 4.426 0 5.5 5.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 1.030228582 0.353553390593274 1.030228582
107 1 1 "bake" "Tso" 2010 23 0.308421065 0.223606798 1 13 "US" 4.426 0 11.5 11.5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.308421065 0.223606797749979 0.308421065
108 1 1 "bake" "Tso" 2010 10 0.631377497 0.377964473 1 13 "US" 4.426 0 5 5 "no information about condition size available" NA NA "Meta-Analysis 7" "Correlational" 0.631377497 0.377964473009227 0.631377497
