"study_ID" "type" "rgodHRother" "ma" "author_andor_study" "year" "Ntot" "ES" "SE" "unique" "citations" "countrycode" "jrnl_impact" "similarity" "N1" "N2" "remarks_N" "remarks_type" "remarks" "meta_nr" "typeWords" "Fisherz" "FisherzSE" "FisherzUncoined"
488 2 4 "fior" "Depp" 2007 235 0.494709416 0.137666592 1 NA NA NA NA 150 85 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.235521055980864 0.0656532164298613 0.235521055980864
489 2 4 "fior" "Cellard" 2007 46 1.060921146 0.314945711 1 NA NA NA NA 23 23 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.508289324351562 0.152498570332605 0.508289324351562
490 2 4 "fior" "Cuesta" 2007 195 -0.197311854 0.210899321 1 NA NA NA NA 169 26 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" -0.0670229429692895 0.0721687836487032 -0.0670229429692895
491 2 4 "fior" "Bertrand" 2007 63 0.998915034 0.269692622 1 NA NA NA NA 36 27 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.476138930201597 0.129099444873581 0.476138930201597
492 2 4 "fior" "Burbridge" 2007 96 0.500773812 0.207342412 1 NA NA NA NA 49 47 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.247789082096391 0.103695169473043 0.247789082096391
493 2 4 "fior" "Henry" 2007 59 0.794821216 0.270499219 1 NA NA NA NA 30 29 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.387577006040047 0.133630620956212 0.387577006040047
494 2 4 "fior" "Barrantes-Vidal" 2007 131 1.418162752 0.195589312 1 NA NA NA NA 68 63 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.659668921765285 0.0883883476483184 0.659668921765285
495 2 4 "fior" "Rodriguez-Sanchez" 2007 154 0.459664111 0.210563063 1 NA NA NA NA 126 28 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.176374109835961 0.0813788458771159 0.176374109835961
496 2 4 "fior" "Achim" 2007 46 1.082839534 0.318129776 1 NA NA NA NA 26 20 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.51387727412364 0.152498570332605 0.51387727412364
497 2 4 "fior" "Doughty" 2008 35 1.3066042 0.375573489 1 NA NA NA NA 20 15 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.6083725574553 0.176776695296637 0.6083725574553
498 2 4 "fior" "Brissos" 2008 46 0.215215753 0.295736329 1 NA NA NA NA 23 23 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.107401277806157 0.152498570332605 0.107401277806157
499 2 4 "fior" "Chen" 2008 18 -0.184212182 0.475334214 1 NA NA NA NA 10 8 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" -0.0914084221330397 0.258198889747161 -0.0914084221330397
500 2 4 "fior" "Barch" 2008 92 0.519079185 0.216039835 1 NA NA NA NA 55 37 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.251852614837551 0.105999788000636 0.251852614837551
501 2 4 "fior" "Badcock" 2008 90 2.332157592 0.273604269 1 NA NA NA NA 42 48 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.992385018928559 0.107211253483779 0.992385018928559
502 2 4 "fior" "Bora" 2008 60 0.136222983 0.258498174 1 NA NA NA NA 30 30 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.0680589376147102 0.132453235706504 0.0680589376147102
503 2 4 "fior" "Baas" 2008 46 0.614611585 0.308829712 1 NA NA NA NA 18 28 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.295631316530922 0.152498570332605 0.295631316530922
504 2 4 "fior" "Heinrichs" 2008 223 0.704951341 0.147056647 1 NA NA NA NA 151 72 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.323922132335122 0.0674199862463242 0.323922132335122
505 2 4 "fior" "Park IH" 2008 28 1.551124007 0.431069801 1 NA NA NA NA 14 14 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.713471456956033 0.2 0.713471456956033
506 2 4 "fior" "Ohrmann" 2008 80 0.094784519 0.224363526 1 NA NA NA NA 43 37 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.0472412072238679 0.113960576459638 0.0472412072238679
507 2 4 "fior" "Nestor" 2008 53 1.2032395 0.298952567 1 NA NA NA NA 25 28 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.569386634702748 0.14142135623731 0.569386634702748
508 2 4 "fior" "Mulholland" 2008 45 1.715087237 0.364257605 1 NA NA NA NA 30 15 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.739291793379674 0.154303349962092 0.739291793379674
509 2 4 "fior" "Premkumar" 2008 100 0.878988566 0.239157768 1 NA NA NA NA 75 25 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.371975555366059 0.101534616513362 0.371975555366059
510 2 4 "fior" "Luck" 2008 38 4.083500263 0.569798838 1 NA NA NA NA 19 19 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 1.46215230164165 0.169030850945703 1.46215230164165
511 2 4 "fior" "Leonard" 2008 68 1.184373136 0.262940663 1 NA NA NA NA 34 34 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.562113398876401 0.124034734589208 0.562113398876401
512 2 4 "fior" "Midorikawa" 2008 76 2.112583722 0.29463046 1 NA NA NA NA 27 49 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.889178055562067 0.117041147196131 0.889178055562067
513 2 4 "fior" "Martin" 2008 38 0.39223227 0.327547629 1 NA NA NA NA 19 19 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.194880253284305 0.169030850945703 0.194880253284305
514 2 4 "fior" "Wang" 2008 108 0.209761286 0.192978599 1 NA NA NA NA 54 54 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.104689308305277 0.0975900072948533 0.104689308305277
515 2 4 "fior" "Skelley" 2008 367 1.561768682 0.119891376 1 NA NA NA NA 162 205 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.713427090934057 0.0524142418360959 0.713427090934057
516 2 4 "fior" "Bell" 2009 37 -0.226191777 0.33587587 1 NA NA NA NA 22 15 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" -0.110826440548981 0.171498585142509 -0.110826440548981
517 2 4 "fior" "Huddy" 2009 57 1.233485218 0.292089136 1 NA NA NA NA 33 24 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.576532258178892 0.136082763487954 0.576532258178892
518 2 4 "fior" "Leeson" 2009 140 0.753235499 0.176615304 1 NA NA NA NA 60 80 NA NA "Incomplete references makes retrieval of original articles impossible" "Meta-Analysis 32" "Group Differences" 0.364621677915856 0.0854357657716761 0.364621677915856
519 2 4 "fior" "Manning" 2009 60 0.793727458 0.268172881 1 NA NA NA NA 30 30 NA NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 32" "Group Differences" 0.387121793071309 0.132453235706504 0.387121793071309
520 2 4 "fior" "Cellard" 2010 50 1.0409835 0.301390887 1 NA NA NA NA 25 25 NA NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 32" "Group Differences" 0.499464689404632 0.145864991497895 0.499464689404632
521 2 4 "fior" "Grillon ML" 2010 50 0.650940989 0.290236527 1 NA NA NA NA 25 25 NA NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 32" "Group Differences" 0.31998205734641 0.145864991497895 0.31998205734641
522 2 4 "forb" "Baldeweg" 2004 48 -1.4 0.326530612 1 99 "GB" 4.426 1 24 24 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.652666566082356 0.149071198499986 -0.652666566082356
523 2 4 "forb" "Ball" 1998 25 -1.26 0.448979592 1 35 "GB" 9.472 1 12.5 12.5 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.594378911302242 0.21320071635561 -0.594378911302242
524 2 4 "forb" "Beatty" 1993 46 -0.92 0.375 1 85 "US" 1.812 1 23 23 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.445151759147682 0.152498570332605 -0.445151759147682
525 2 4 "forb" "Brebion" 2001 90 -0.54 0.216836735 1 28 "GB" 13.559 1 45 45 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.266822666909941 0.107211253483779 -0.266822666909941
526 2 4 "forb" "Chen" 2000 70 -0.67 0.293367347 1 45 "CN" 2.682 1 35 35 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.329030893322087 0.122169444356305 -0.329030893322087
527 2 4 "forb" "Conklin" 2005 128 -1.04 0.214285714 1 73 "US" 3.451 1 64 64 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.499028444456403 0.0894427190999916 -0.499028444456403
528 2 4 "forb" "Danion" 2001 72 -0.55 0.255102041 1 61 "FR" 13.559 1 36 36 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.271646760513775 0.120385853085769 -0.271646760513775
529 2 4 "forb" "Egeland" 2003 100 -0.91 0.206632653 1 57 "NO" 2.158 1 50 50 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.44060500286291 0.101534616513362 -0.44060500286291
530 2 4 "forb" "Elvevag" 2003 40 -1.25 0.346938776 1 24 "US" 2.237 1 20 20 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.590143685781959 0.164398987305357 -0.590143685781959
531 2 4 "forb" "Ertugrul" 2002 90 -0.59 0.227040816 1 31 "TR" 5.545 1 45 45 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.290880634684532 0.107211253483779 -0.290880634684532
532 2 4 "forb" "Fossati" 1999 54 -0.69 0.352040816 1 139 "CA" 2.682 1 27 27 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.3384985964017 0.140028008402801 -0.3384985964017
533 2 4 "forb" "Glahn" 2000 124 -0.87 0.183673469 1 60 "US" 9.472 1 62 62 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.422332669526361 0.0909090909090909 -0.422332669526361
534 2 4 "forb" "Ho" 2005 243 -1.09 0.142857143 1 117 "US" 15.147 1 121.5 121.5 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.521094747786225 0.0645497224367903 -0.521094747786225
535 2 4 "forb" "Johnstone" 1978 28 -0.78 0.400510204 1 235 "GB" 5.545 1 14 14 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.380734623641985 0.2 -0.380734623641985
536 2 4 "forb" "Kiefer" 2002 48 -0.45 0.227040816 1 13 "DE" 4.426 1 24 24 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.22314355131421 0.149071198499986 -0.22314355131421
537 2 4 "forb" "Landro" 2001 66 -0.3 0.153061224 1 15 "NO" 1.147 1 33 33 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.149443120184958 0.125988157669742 -0.149443120184958
538 2 4 "forb" "Moritz 2002a" 2002 100 -0.87 0.25255102 1 24 "DE" 3.355 1 50 50 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.422332669526361 0.101534616513362 -0.422332669526361
539 2 4 "forb" "Moritz 2002b" 2002 145 -1.16 0.280612245 1 128 "DE" 1.921 1 72.5 72.5 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.551599561577318 0.0839181358296689 -0.551599561577318
540 2 4 "forb" "Muller" 2005 70 -0.76 0.237244898 1 14 "DE" 3.21 1 35 35 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.37140239146356 0.122169444356305 -0.37140239146356
541 2 4 "forb" "Nienow" 2004 104 -1.2 0.265306122 1 14 "US" 1.812 0 52 52 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.568824898732248 0.0995037190209989 -0.568824898732248
542 2 4 "forb" "Park" 1992 36 -0.85 0.219387755 1 672 "US" 13.747 0 18 18 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.413145994832217 0.174077655955698 -0.413145994832217
543 2 4 "forb" "Perry" 2001 100 -0.25 0.12755102 1 103 "US" 8.607 1 50 50 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.124676746921443 0.101534616513362 -0.124676746921443
544 2 4 "forb" "Pirkola" 2005 216 -0.02 0.211734694 1 45 "FI" 9.472 1 108 108 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.00999983334083285 0.0685188709827532 -0.00999983334083285
545 2 4 "forb" "Shedlack" 1997 68 -1.07 0.191326531 1 43 "US" 4.426 1 34 34 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.512295702969837 0.124034734589208 -0.512295702969837
546 2 4 "forb" "Stefansson" 1996 34 -0.84 0.24744898 1 34 "IS" 9.472 1 17 17 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.408540207829808 0.179605302026775 -0.408540207829808
547 2 4 "forb" "Stirling" 1997 46 -0.56 0.283163265 1 36 "GB" 4.426 1 23 23 "no information about condition size available" NA "Ntot copied from meta-analysis sheet at later time point, because it was missing in the summary sheet for no apparent reason." "Meta-Analysis 33" "Group Differences" 0.276464691365661 0.152498570332605 -0.276464691365661
548 2 4 "forb" "Stone" 1998 33 -0.93 0.367346939 1 106 "US" 3.425 1 16.5 16.5 "no information about condition size available" NA NA "Meta-Analysis 33" "Group Differences" 0.449689892515991 0.182574185835055 -0.449689892515991
549 2 4 "forb" "Wittorf" 2004 62 -1.21 0.326530612 1 21 "DE" 4.092 1 31 31 "no information about condition size available" NA NA "Meta-Analysis 33" "Group Differences" 0.57310763187148 0.130188910980824 -0.57310763187148
550 2 4 "forb" "Rodriguez-Sanchez" 2005 102 -0.75 0.362244898 1 52 "ES" 4.426 1 51 51 "no information about condition size available" NA NA "Meta-Analysis 33" "Group Differences" 0.366724604230137 0.100503781525921 -0.366724604230137
551 2 4 "fraz" "Abikoff" 1996 40 1.38 0.351859347 1 35 "US" 2.025 1 20 20 NA NA NA "Meta-Analysis 34" "Group Differences" 0.644455004844934 0.164398987305357 0.644455004844934
552 2 4 "fraz" "Assesmany" 2001 80 0.52 0.227354349 1 NA "US" 1.12 1 40 40 NA NA NA "Meta-Analysis 34" "Group Differences" 0.257156348513015 0.113960576459638 0.257156348513015
553 2 4 "fraz" "August" 1990 113 0.81 0.201108492 1 155 "US" 3.167 1 43 70 NA NA NA "Meta-Analysis 34" "Group Differences" 0.383778606565135 0.0953462589245592 0.383778606565135
554 2 4 "fraz" "Barber" 1996 90 0.21 0.211398781 1 13 "US" NA 1 45 45 NA NA NA "Meta-Analysis 34" "Group Differences" 0.104808013476227 0.107211253483779 0.104808013476227
555 2 4 "fraz" "Barkley" 1990 76 0.54 0.234818461 1 368 "US" 5.228 1 34 42 NA NA NA "Meta-Analysis 34" "Group Differences" 0.265374239156218 0.117041147196131 0.265374239156218
556 2 4 "fraz" "Barkley" 1996 48 0.11 0.289144086 1 NA "US" 2.397 1 23 25 NA NA NA "Meta-Analysis 34" "Group Differences" 0.0549246167332756 0.149071198499986 0.0549246167332756
557 2 4 "fraz" "Barkley" 1997 38 0.48 0.35330787 1 2585 "US" 14.392 1 26 12 NA NA "author name in web of science is Borger" "Meta-Analysis 34" "Group Differences" 0.221307249813658 0.169030850945703 0.221307249813658
558 2 4 "fraz" "Barry" 2001 30 0.74 0.377438737 1 NA "US" 2.397 0 15 15 NA NA NA "Meta-Analysis 34" "Group Differences" 0.362039121240971 0.192450089729875 0.362039121240971
559 2 4 "fraz" "Berquin" 1998 93 0.6 0.212017004 1 322 "US" 8.303 0 47 46 NA NA NA "Meta-Analysis 34" "Group Differences" 0.295656435418799 0.105409255338946 0.295656435418799
560 2 4 "fraz" "Boerger" 1999 37 1.07 0.354387739 1 46 "NL" 3.167 0 16 21 NA NA NA "Meta-Analysis 34" "Group Differences" 0.507964177448013 0.171498585142509 0.507964177448013
561 2 4 "fraz" "Braaten" 2000 43 0.38 0.309802058 1 66 "US" 5.228 0 19 24 NA NA NA "Meta-Analysis 34" "Group Differences" 0.187608667984734 0.158113883008419 0.187608667984734
562 2 4 "fraz" "Breier" 2002 43 0.87 0.323042905 1 9 "US" 3.425 0 25 18 NA NA NA "Meta-Analysis 34" "Group Differences" 0.41700604232896 0.158113883008419 0.41700604232896
563 2 4 "fraz" "Carlson" 2000 44 0.07 0.301603668 1 56 "US" 5.228 0 22 22 NA NA NA "Meta-Analysis 34" "Group Differences" 0.0349928581029374 0.156173761888606 0.0349928581029374
564 2 4 "fraz" "Carlson" 2000 80 0.11 0.223775836 1 32 "US" 1.703 0 40 40 NA NA NA "Meta-Analysis 34" "Group Differences" 0.0549723085118352 0.113960576459638 0.0549723085118352
565 2 4 "fraz" "Carte" 1996 82 0.36 0.229469282 1 128 "US" 3.167 0 31 51 NA NA NA "Meta-Analysis 34" "Group Differences" 0.173689331451673 0.112508790092602 0.173689331451673
566 2 4 "fraz" "Carter" 1995 40 0.56 0.322366251 1 80 "US" 2.682 1 20 20 NA NA NA "Meta-Analysis 34" "Group Differences" 0.276464691365661 0.164398987305357 0.276464691365661
567 2 4 "fraz" "Carter" 1995 38 0.63 0.332393632 1 93 "US" 9.472 0 19 19 NA NA NA "Meta-Analysis 34" "Group Differences" 0.310010416495237 0.169030850945703 0.310010416495237
568 2 4 "fraz" "Casey" 1997 52 0.48 0.281315591 1 496 "US" 6.354 0 26 26 NA NA NA "Meta-Analysis 34" "Group Differences" 0.2377537491524 0.142857142857143 0.2377537491524
569 2 4 "fraz" "Castellanos" 1996 112 0.67 0.194241334 1 700 "US" 13.747 0 55 57 NA NA NA "Meta-Analysis 34" "Group Differences" 0.328980243193722 0.0957826285221151 0.328980243193722
570 2 4 "fraz" "Castellanos" 2001 100 0.49 0.202979063 1 239 "US" 13.747 0 50 50 NA NA NA "Meta-Analysis 34" "Group Differences" 0.242612911397075 0.101534616513362 0.242612911397075
571 2 4 "fraz" "Chee" 1989 50 0.37 0.317136168 1 95 "CA" 3.167 0 36 14 NA NA NA "Meta-Analysis 34" "Group Differences" 0.165374756061888 0.145864991497895 0.165374756061888
572 2 4 "fraz" "Chelune" 1986 48 0.29 0.290188516 1 202 "US" 1.633 1 24 24 NA NA NA "Meta-Analysis 34" "Group Differences" 0.144496643818822 0.149071198499986 0.144496643818822
573 2 4 "fraz" "Chhabildas" 2001 115 1.38 0.225340081 1 195 "US" 3.167 0 82 33 NA NA NA "Meta-Analysis 34" "Group Differences" 0.58949123045856 0.0944911182523068 0.58949123045856
574 2 4 "fraz" "Clark" 2000 61 1.33 0.285538347 1 95 "AU" 3.167 0 26 35 NA NA NA "Meta-Analysis 34" "Group Differences" 0.617687516813985 0.131306432859723 0.617687516813985
575 2 4 "fraz" "Clarke" 2001 120 1.31 0.211306452 1 117 "AU" 3.18 0 40 80 NA NA NA "Meta-Analysis 34" "Group Differences" 0.583806954029148 0.0924500327042049 0.583806954029148
576 2 4 "fraz" "Clarke" 2001 344 0.75 0.130787866 1 71 "AU" 2.682 0 80 264 NA NA NA "Meta-Analysis 34" "Group Differences" 0.31177173972152 0.0541530361073882 0.31177173972152
577 2 4 "fraz" "Corbett" 2000 74 1.01 0.246873696 1 54 "US" 2.181 0 37 37 NA NA NA "Meta-Analysis 34" "Group Differences" 0.48567948296045 0.118678165819385 0.48567948296045
578 2 4 "fraz" "Dane" 2000 44 1.11 0.323898483 1 49 "CA" 6.354 0 22 22 NA NA NA "Meta-Analysis 34" "Group Differences" 0.529856898372382 0.156173761888606 0.529856898372382
579 2 4 "fraz" "Dewey" 2001 165 0.53 0.169256338 1 11 "CA" 2.67 1 112 53 NA NA NA "Meta-Analysis 34" "Group Differences" 0.245020296052691 0.0785674201318386 0.245020296052691
580 2 4 "fraz" "Ernst" 1994 19 0.96 0.485143013 1 143 "US" 6.354 0 9 10 NA NA NA "Meta-Analysis 34" "Group Differences" 0.46265227624464 0.25 0.46265227624464
581 2 4 "fraz" "Ernst" 1999 20 0.92 0.470276514 1 162 "US" 13.559 0 10 10 NA NA NA "Meta-Analysis 34" "Group Differences" 0.445151759147682 0.242535625036333 0.445151759147682
582 2 4 "fraz" "Felton" 1987 53 0.43 0.321974248 1 119 "US" 3.309 1 40 13 NA NA NA "Meta-Analysis 34" "Group Differences" 0.183970095220643 0.14142135623731 0.183970095220643
583 2 4 "fraz" "Gansler" 1998 40 0.24 0.366132945 1 81 "US" 1.812 1 10 30 NA NA NA "Meta-Analysis 34" "Group Differences" 0.103736890284025 0.164398987305357 0.103736890284025
584 2 4 "fraz" "Garcia-Sanchez" 1997 51 1.37 0.33086615 1 44 "ES" 1.666 1 35 16 NA NA NA "Meta-Analysis 34" "Group Differences" 0.599185787751047 0.144337567297406 0.599185787751047
585 2 4 "fraz" "Giedd" 1994 36 1.14 0.359389915 1 261 "US" 13.559 0 18 18 NA NA NA "Meta-Analysis 34" "Group Differences" 0.542930505457726 0.174077655955698 0.542930505457726
586 2 4 "fraz" "Gomez" 1999 30 0.39 0.368603219 1 13 "AU" 2.025 0 15 15 NA NA NA "Meta-Analysis 34" "Group Differences" 0.193784867221876 0.192450089729875 0.193784867221876
587 2 4 "fraz" "Gorenstein" 1989 47 0.06 0.293460191 1 113 "US" 2.111 1 26 21 NA NA NA "Meta-Analysis 34" "Group Differences" 0.0298253348281692 0.150755672288882 0.0298253348281692
588 2 4 "fraz" "Grodzinsky" 1992 64 0 0.250489716 1 228 "US" 2.67 0 30 34 NA NA NA "Meta-Analysis 34" "Group Differences" 0 0.128036879932896 0
589 2 4 "fraz" "Halperin" 1992 49 0.77 0.306371702 1 80 "US" 6.354 0 18 31 NA NA NA "Meta-Analysis 34" "Group Differences" 0.363167362097024 0.147441956154897 0.363167362097024
590 2 4 "fraz" "Herpertz" 2001 42 1.27 0.338288761 1 71 "DE" 6.354 0 21 21 NA NA NA "Meta-Analysis 34" "Group Differences" 0.598604597236841 0.160128153805087 0.598604597236841
591 2 4 "fraz" "Holdnack" 1995 55 1.18 0.293243099 1 63 "US" NA 0 30 25 NA NA NA "Meta-Analysis 34" "Group Differences" 0.558125806754374 0.138675049056307 0.558125806754374
592 2 4 "fraz" "Horn" 1989 56 0.61 0.288064103 1 70 "US" 3.167 1 19 37 NA NA NA "Meta-Analysis 34" "Group Differences" 0.284943250376629 0.137360563948689 0.284943250376629
593 2 4 "fraz" "Houghton" 1999 90 0.4 0.229634943 1 132 "AU" 1.666 0 28 62 NA NA NA "Meta-Analysis 34" "Group Differences" 0.184136923408385 0.107211253483779 0.184136923408385
594 2 4 "fraz" "Iaboni" 1995 36 0.32 0.335972217 1 121 "CA" 4.974 0 17 19 NA NA NA "Meta-Analysis 34" "Group Differences" 0.15908107424494 0.174077655955698 0.15908107424494
595 2 4 "fraz" "Iaboni" 1997 36 0.5 0.3385016 1 73 "CA" 3.18 0 18 18 NA NA NA "Meta-Analysis 34" "Group Differences" 0.247466461547263 0.174077655955698 0.247466461547263
596 2 4 "fraz" "Jacobsen" 1996 40 0.31 0.3197051 1 53 "US" 9.472 0 22 18 NA NA NA "Meta-Analysis 34" "Group Differences" 0.153618145590964 0.164398987305357 0.153618145590964
597 2 4 "fraz" "Janzen" 1995 16 0.6 0.511126208 1 73 "CA" NA 0 8 8 NA NA NA "Meta-Analysis 34" "Group Differences" 0.295673047563422 0.277350098112615 0.295673047563422
598 2 4 "fraz" "Jennings" 1997 66 0.27 0.253009508 1 69 "US" 3.782 0 26 40 NA NA NA "Meta-Analysis 34" "Group Differences" 0.131548120958352 0.125988157669742 0.131548120958352
599 2 4 "fraz" "Johnson" 2001 94 0.29 0.211235113 1 25 "US" 1.921 1 38 56 NA NA NA "Meta-Analysis 34" "Group Differences" 0.141840641412503 0.104828483672192 0.141840641412503
600 2 4 "fraz" "Jonkman" 1997 36 0.68 0.342831348 1 85 "NL" 9.472 0 18 18 NA NA NA "Meta-Analysis 34" "Group Differences" 0.333768351645882 0.174077655955698 0.333768351645882
601 2 4 "fraz" "Jonkman" 1999 28 0.92 0.397456197 1 72 "NL" 3.18 0 14 14 NA NA NA "Meta-Analysis 34" "Group Differences" 0.445151759147682 0.2 0.445151759147682
602 2 4 "fraz" "Jonkman" 2000 28 0.94 0.398290992 1 50 "NL" 3.18 0 14 14 NA NA NA "Meta-Analysis 34" "Group Differences" 0.454219358912955 0.2 0.454219358912955
603 2 4 "fraz" "Kaplan" 1998 165 0.53 0.169256338 1 NA "CA" 2.158 0 112 53 NA NA NA "Meta-Analysis 34" "Group Differences" 0.245020296052691 0.0785674201318386 0.245020296052691
604 2 4 "fraz" "Kemner" 1995 40 0.12 0.316512243 1 79 "NL" 9.472 0 20 20 NA NA NA "Meta-Analysis 34" "Group Differences" 0.0599640581953339 0.164398987305357 0.0599640581953339
