"","study","pubyear","sno","mno","cntry","pubtype","manip","color","n1","n2","n","sample","female","age","m1","sd1","m2","sd2","t","F","d","stat","page","rec","test","testcat","matched","calib","mode","dur","design","note","yi","vi","color2"
"50","smajic2014",2014,31,1,"US","Journal","Color of  cover sheet and color mark on each page","green",18,14,32,"Undergraduates",NA,NA,80.94,13.28,81.14,12.4,NA,NA,NA,NA,"p40, table 2",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","study 2; class 1; high-stakes setting",-0.0151059540091127,0.126987692450479,"green"
"51","smajic2014",2014,31,1,"US","Journal","Color of  cover sheet and color mark on each page","white",18,12,30,"Undergraduates",NA,NA,80.94,13.28,79.67,14.91,NA,NA,NA,NA,"p40, table 2",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","study 2; class 1; high-stakes setting",0.0886227294898435,0.139019788691926,"other"
"52","smajic2014",2014,32,1,"US","Journal","Color of  cover sheet and color mark on each page","blue",14,11,25,"Undergraduates",NA,NA,83.21,15.65,76.46,13.16,NA,NA,NA,NA,"p40, table 2",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","study 2; class 2; high-stakes setting",0.446487932714475,0.166324691818855,"blue"
"53","smajic2014",2014,32,1,"US","Journal","Color of  cover sheet and color mark on each page","green",14,10,24,"Undergraduates",NA,NA,83.21,15.65,81.5,14.18,NA,NA,NA,NA,"p40, table 2",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","study 2; class 2; high-stakes setting",0.109586912399876,0.171678764998766,"green"
"54","smajic2014",2014,32,1,"US","Journal","Color of  cover sheet and color mark on each page","white",14,6,20,"Undergraduates",NA,NA,83.21,15.65,79.83,12.17,NA,NA,NA,NA,"p40, table 2",0,"Multiple-choice exam","Knowledge","not matched",0,"paper","during","between","study 2; class 2; high-stakes setting",0.219234704243822,0.23929683448386,"other"
"55","steele2015",2015,35,1,"US","Thesis/Presentation","Colored rectangle before test","gray",103,103,206,"Undergraduates",64.1935483870968,NA,NA,NA,NA,NA,-0.84,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.116620283285405,0.0194504861419261,"gray"
"56","steele2015",2015,35,1,"US","Thesis/Presentation","Colored rectangle before test","green",102,101,203,"Undergraduates",64.1935483870968,NA,NA,NA,NA,NA,0.52,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,0.0727218689196921,0.0197179374563545,"green"
"57","steele2016",2016,36,1,"US","Thesis/Presentation","Colored rectangle before test","gray",82,81,163,"Undergraduates",74.4360902255639,NA,NA,NA,NA,NA,-0.38,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0592511745988299,0.0245515699871583,"gray"
"58","steele2016",2016,36,1,"US","Thesis/Presentation","Colored rectangle before test","green",94,94,188,"Undergraduates",74.4360902255639,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0435828103802592,0.0212816475036187,"green"
"59","steele2017",2017,37,1,"US","Thesis/Presentation","Colored rectangle before test","gray",133,133,266,"Undergraduates",71.4646464646465,NA,NA,NA,NA,NA,-0.6,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0733674978356228,0.015047712010787,"gray"
"60","steele2017",2017,37,1,"US","Thesis/Presentation","Colored rectangle before test","green",123,123,246,"Undergraduates",71.4646464646465,NA,NA,NA,NA,NA,-0.08,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0101698390169857,0.0162603728163123,"green"
"61","steele2018",2018,38,1,"US","Thesis/Presentation","Colored rectangle before test","gray",141,141,282,"Undergraduates",79.2270531400966,NA,NA,NA,NA,NA,-0.09,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0106901071679318,0.0141845997843817,"gray"
"62","steele2018",2018,38,1,"US","Thesis/Presentation","Colored rectangle before test","green",138,139,277,"Undergraduates",79.2270531400966,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,"p1",0,"Anagrams","Anagrams","matched",0,"computer","before","between",NA,-0.0754998958240137,0.014450910647444,"green"
"63","thorstenson2015",2015,39,1,"US","Journal","Text color of instruction","green",41,41,82,"Undergraduates",68.1818181818182,NA,5.146,3.214,7.268,5.399,NA,NA,NA,NA,NA,0,"Anagrams","Anagrams","matched",0,"paper","before","between","statistics provided by personal communication",-0.473122630395906,0.0501453964841021,"green"
"64","thorstenson2015",2015,39,1,"US","Journal","Text color of instruction","gray",41,45,86,"Undergraduates",68.1818181818182,NA,5.146,3.214,6.689,4.781,NA,NA,NA,NA,NA,0,"Anagrams","Anagrams","matched",0,"paper","before","between","statistics provided by personal communication",-0.372063018295768,0.0474172968780529,"gray"
"65","vukovic2017",2017,40,1,"RS","Thesis/Presentation","Ink color of respondent ID on each page","black",48,48,96,"Undergraduates",87,21.83,13.96,4.92,13.62,4.56,NA,NA,NA,NA,"p12, table 1",0,"Anagrams","Anagrams","not matched",0,"paper","during","between",NA,0.0711048672814397,0.0416929994903704,"other"
"66","vukovic2017",2017,40,1,"RS","Thesis/Presentation","Ink color of respondent ID on each page","green",48,47,95,"Undergraduates",87,21.83,13.96,4.92,13.13,4.77,NA,NA,NA,NA,"p12, table 1",0,"Anagrams","Anagrams","not matched",0,"paper","during","between",NA,0.169876745795555,0.0422618138609725,"green"
"67","zhang2014",2014,41,1,"CN","Journal","Colored rectangle before test","green",12,12,24,"Undergraduates",0,23.46,22.17,3.19,25.25,2.05,NA,NA,NA,NA,"p3",0,"Figural reasoning","Reasoning","matched",0,"computer","before","between","student sample",-1.10909167819815,0.192293423971842,"green"
